 number name
59 1.10.101 "Muramoyl-pentapeptide Carboxypeptidase; domain 1 "
60 1.10.110 "Hydrophobic Seed Protein "
61 1.10.132 "Topoisomerase I; Chain A, domain 4 "
62 1.10.135 "Transferase Creatine Kinase; Chain A, domain 1 "
63 1.10.140 "MET Apo-Repressor, subunit A "
64 1.10.150 "DNA polymerase; domain 1 "
65 1.10.155 "Chemotaxis Receptor Methyltransferase Cher; domain 1 "
66 1.10.166 "Tetrahydrodipicolinate-N-succinyltransferase; Chain A, domain 1 "
67 1.10.167 "Regulator of G-protein Signalling 4; domain 2 "
68 1.10.168 "Phosducin; domain 2 "
69 1.10.170 "Bluetongue Virus 10, subunit 1; domain 3 "
70 1.10.185 "Human T-cell Leukemia Virus Type II Matrix Protein "
71 1.10.189 "Pyruvate Phosphate di-kinase; domain 2 "
72 1.10.195 "Cytoplasmic domain of VPU protein "
73 1.10.196 "Regulator of G-protein Signalling 4; domain 1 "
74 1.10.210 "Uteroglobin "
75 1.10.220 "Annexin V; domain 1 "
76 1.10.225 "NK-Lysin "
77 1.10.230 "Cytochrome p450-Terp; domain 2 "
78 1.10.238 "Recoverin; domain 1 "
79 1.10.239 "Beta-cryptogein "
80 1.10.240 "Tyrosyl-Transfer RNA Synthetase "
81 1.10.245 "MDM2 "
82 1.10.246 "Serum Albumin; Chain A, Domain 1 "
83 1.10.250 "Bluetongue Virus 10, subunit 1; domain 1 "
84 1.10.260 "434 Repressor (Amino-terminal Domain) "
85 1.10.268 "Topoisomerase; domain 3 "
86 1.10.269 "Adenovirus Single-stranded Dna-binding Protein, domain 1 "
87 1.10.274 "Enzyme I; Chain A, domain 2 "
88 1.10.275 "Fumarase C; Chain B, domain 1 "
89 1.10.285 "Glutamate Dehydrogenase; Chain A, domain 3 "
90 1.10.286 "GTP Cyclohydrolase I; Chain A, domain 1 "
91 1.10.287 "Helix Hairpins "
92 1.10.288 "Cobalamin-dependent Methionine Synthase; domain 2 "
93 1.10.290 "Topoisomerase I; domain 4 "
94 1.10.300 "Adenylosuccinate Synthetase, subunit A; domain 2 "
95 1.10.340 "Endonuclease III; domain 1 "
96 1.10.357 "Tetracycline Repressor; domain 2 "
97 1.10.375 "Human Immunodeficiency Virus Type 1 Capsid Protein "
98 1.10.390 "Neutral Protease; domain 2 "
99 1.10.400 "GI Alpha 1, domain 2-like "
100 1.10.405 "Guanine Nucleotide Dissociation Inhibitor; domain 1 "
101 1.10.418 "Actin-binding Protein, T-fimbrin; domain 1 "
102 1.10.420 "Peroxidase; domain 2 "
103 1.10.437 "Apoptosis Regulator Bcl-x "
104 1.10.439 "Penicillin Amidohydrolase; domain 1 "
105 1.10.440 "Endonuclease V "
106 1.10.441 "Phosphomannose Isomerase; domain 2 "
107 1.10.442 "Cytochrome C Oxidase; Chain D "
108 1.10.443 "hpI Integrase; Chain A "
109 1.10.455 "Ribosomal Protein S7 "
110 1.10.460 "Topoisomerase I; domain 2 "
111 1.10.468 "Photosynthetic Reaction Center, subunit C; domain 2 "
112 1.10.470 "Variant Surface Glycoprotein, subunit A; domain 2 "
113 1.10.472 "Cyclin A; domain 1 "
114 1.10.486 "PCRA; domain 4 "
115 1.10.489 "Chloroperoxidase "
116 1.10.490 "Globin-like "
117 1.10.506 "GTPase Activation - p120GAP; domain 1 "
118 1.10.510 "Transferase(Phosphotransferase); domain 1 "
119 1.10.520 "Peroxidase; domain 1 "
120 1.10.530 "Lysozyme "
121 1.10.532 "Transcription Factor, Stat-4 "
122 1.10.533 "Death Domain, Fas "
123 1.10.540 "Butyryl-Coa Dehydrogenase, subunit A; domain 1 "
124 1.10.555 "Phosphatidylinositol 3-kinase; Chain A "
125 1.10.560 "GROEL; domain 1 "
126 1.10.565 "Retinoid X Receptor "
127 1.10.569 "Aldehyde Ferredoxin Oxidoreductase Protein, subunit A; domain 2 "
128 1.10.575 "P1 Nuclease "
129 1.10.579 "DNA Cyclobutane Dipyrimidine Photolyase, subunit A; domain 3 "
130 1.10.580 "Citrate Synthase; domain 1 "
131 1.10.590 "Chorismate Mutase, subunit A "
132 1.10.599 "Aldehyde Ferredoxin Oxidoreductase Protein, subunit A; domain 3 "
133 1.10.600 "Farnesyl Diphosphate Synthase "
134 1.10.601 "RNA Polymerase Primary Sigma Factor "
135 1.10.606 "Vanadium-containing Chloroperoxidase; domain 2 "
136 1.10.620 "Ribonucleotide Reductase, subunit A "
137 1.10.630 "Cytochrome p450 "
138 1.10.640 "Myeloperoxidase, subunit C "
139 1.10.645 "Cytochrome-c3 Hydrogenase; chain B "
140 1.10.700 "Protocatechuate 4,5-dioxygenase; Chain A "
141 1.10.720 "Transcription Termination Factor Rho, Rna-binding Domain; Chain A, Domain 1 "
142 1.10.730 "Isoleucyl-tRNA Synthetase; Domain 1 "
143 1.10.740 "Transferase Inhibitor Protein From Tn5; Chain A, domain2 "
144 1.10.750 "Elongin C; Chain C, domain 1 "
145 1.10.760 "Cytochrome Bc1 Complex; Chain D, domain 2 "
146 1.10.780 "Hydroxylamine Oxidoreductase; Chain A, domain 1 "
147 1.10.790 "Major Prion Protein "
148 1.10.800 "Phenylalanine Hydroxylase "
149 1.10.820 "RNA Helicase; Chain A, domain 3 "
150 1.10.840 "Son of Sevenless (SoS) protein; Chain S, domain 2 "
151 1.10.860 "DNAb Helicase; Chain A "
152 1.10.870 "HLA-dr Antigens Associated Invariant Chain; Chain A "
153 1.10.880 "Transcription Factor Skn-1; Chain P "
154 1.10.890 "10k-s Protein, Hypothetical Protein A; Chain A "
155 1.10.930 "Syk Kinase; Chain A, domain 2 "
156 1.10.940 "N-utilizing Substance Protein B Homolog; Chain A "
157 1.10.950 "Villin Headpiece Domain; Chain A "
158 1.10.1000 "Arf Nucleotide-binding Site Opener; domain 2 "
159 1.10.1020 "Adenine-specific Methyltransferase; domain 2 "
160 1.10.1030 "Carbamoyl Phosphate Synthetase; Chain A, domain 4 "
161 1.10.1040 "N-(1-d-carboxylethyl)-l-norvaline Dehydrogenase; domain 2 "
162 1.10.1050 "Ribosomal Protein S4 Delta 41; Chain A, domain 1 "
163 1.10.1060 "Fumarate Reductase Iron-sulfur Protein; Chain B, domain 2 "
164 1.10.1070 "Phosphatidylinositol 3-kinase Catalytic Subunit; Chain A, Domain 5 "
165 1.10.1080 "Glutathione Synthetase; Chain A, domain 3 "
166 1.10.1090 "Cytochrome Bc1 Complex; Chain F "
167 1.10.1100 "Transcription Initiation Factor IId 230k; Chain A "
168 1.10.1130 "Flavocytochrome C3; Chain A, domain 2 "
169 1.10.1140 "Bovine Mitochondrial F1-ATPase, ATP Synthase Beta Chain; Chain D, domain3 "
170 1.10.1160 "Glutamyl-tRNA Synthetase; domain 2 "
171 1.10.1170 "Inhibitor Of Apoptosis Protein (2mihbC-IAP-1); Chain A "
172 1.10.1180 "DNA Transposition Protein; Chain A "
173 1.10.1200 "Non-ribosomal Peptide Synthetase Peptidyl Carrier Protein; Chain A "
174 1.10.1220 "Arc Repressor Mutant "
175 1.10.1240 "Methyltransferase, Methionine Synthase (B12-binding Domains); Chain A, domain 1 "
176 1.10.1270 "Trp Operon Repressor; Chain A "
177 1.10.1280 "di-copper center containing domain from catechol oxidase "
178 1.10.1290 "Conserved core of transcriptional regulatory protein vp16 "
179 1.10.1300 "Catalytic domain of cyclic nucleotide phosphodiesterase 4b2b "
180 1.10.1320 "T7 RNA polymerase; domain 1 "
181 1.10.1330 "Type 1 dockerin domain "
182 1.10.1350 "Viral capsid alpha domain "
183 1.10.1370 "Neurolysin; domain 3 "
184 1.10.1380 "Neutral endopeptidase; domain 2 "
185 1.10.1390 "Phosphoglucose isomerase, C-terminal domain "
186 1.10.1400 "Penicillin amidase (Acylase) alpha subunit, N-terminal domain "
187 1.10.1410 "Poly(a)-polymerase, middle domain "
188 1.10.1420 "MutS, DNA mismatch repair protein; Chain A, domain 3 "
189 1.10.1440 "Apolipoprotein Cii; Chain A; "
190 1.10.1450 "Cd81 Antigen, Extracellular Domain; Chain A "
191 1.10.1470 "Protein Yjbj; Chain A; "
192 1.10.1490 "Dna Fragmentation Factor Alpha Subunit; Chain A; "
193 1.10.1500 "Probable Glutaminase Ybgj; Chain A, domain 2 "
194 1.10.1510 "Hypothetical Protein Yqey; Chain A; domain1 "
195 1.10.1520 "Ribonuclease iii, N-terminal Endonuclease Domain; Chain A "
196 1.10.1530 "Hypothetical Oxidoreductase Yiak; Chain A, domain 1 "
197 1.10.1540 "Neurobeachin; Chain A, domain 1 "
198 1.10.1580 "Conserved Hypothetical Protein Ylqf; Chain A; domain 2 "
199 1.10.1600 "Ku70; Chain A; domain 4 "
200 1.10.1610 "5,6-Dimethylbenzimidazole Phosphoribosyltransferase; Chain A; domain 1 "
201 1.10.1620 "Atp Synthase Epsilon Chain; Chain I; "
202 1.10.1630 "Creb-binding Protein; Chain A "
203 1.10.1650 "50s Ribosomal Protein L19e, Chain O, domain 1 "
204 1.10.1660 "Multidrug-efflux Transporter Regulator; Chain A; Domain 2 "
205 1.10.1670 "Endonuclease Iii, domain 2 "
206 1.10.1710 "Fertility Inhibition Protein O; Chain A; Domain 1 "
207 1.10.1720 "Proline Oxidase; Chain A, Domain 2 "
208 1.10.1740 "Rna Polymerase Sigma Factor; Chain A "
209 1.10.1750 "Chromosomal Replication Initiator Protein Dnaa; Chain A; "
210 1.10.1760 "Arp2/3 complex 21 kDa subunit ARPC3 "
211 1.10.1780 "Double Clp-N motif "
212 1.10.1790 "PTS-regulatory domain, PRD "
213 1.10.1810 "Anti-sigma factor AsiA "
214 1.10.1820 "protein kinase ck2 holoenzyme, chain C, domain 1 "
215 1.10.1840 "main proteinase (3clpro) structure, domain 3 "
216 1.10.1850 "Procapsid Of Bacteriophage Phix174, Chain 1 "
217 1.10.1870 "Domain 3, Saccharopine reductase "
218 1.10.1900 "c-terminal domain of poly(a) binding protein "
219 1.10.2000 "Frizzled cysteine-rich domain "
220 1.10.2010 "Crustacean CHH/MIH/GIH neurohormone "
221 1.10.2020 "uronate isomerase, domain 2, chain A "
222 1.10.2030 "Anthrax toxin lethal factor, domain 3, chain A "
223 1.10.2040 "Protein mu-1, chain B, domain 2 "
224 1.10.2050 "Protein mu-1, chain B, domain 3 "
225 1.10.2060 "PutA proline dehydrogenase (PRODH), domain 2 "
226 1.10.2080 "Antennal chemosensory protein a6 "
227 1.10.2090 "orange carotenoid protein, domain 2 "
228 1.10.3020 "alpha-amino acid ester hydrolase ( Helical cap domain) "
229 1.10.3030 "Gametocyte protein Pfg27 "
230 1.10.3040 "borna disease virus nucleoprotein, domain 1 "
231 1.10.3050 "borna disease virus nucleoprotein, domain 2 "
232 1.10.3060 "Helical scaffold and wing domains of SecA "
233 1.10.3070 "Hypothetical protein MTH393 "
234 1.10.3080 "Clc chloride channel "
235 1.10.3090 "cca-adding enzyme, domain 2 "
236 1.10.3100 "Putative cytoplasmic protein "
237 1.10.3110 "protoporphyrinogen ix oxidase, domain 3 "
238 1.10.3120 "Trigger factor, domain 2 "
239 1.10.3130 "serine acetyltransferase, domain 1 "
240 1.10.3140 "4-hydroxybutyryl-coa dehydratase, domain 1 "
241 1.10.3160 "Bbcrasp-1 "
242 1.10.3170 "Recbcd, chain B, domain 2 "
243 1.10.3180 "DNA-binding domain of ethylene- insensitive3-like3 "
244 1.10.3190 "yfbu gene product, domain 2 "
245 1.10.3200 "Hypothetical protein af0941 "
246 1.10.3210 "Hypothetical protein af1432 "
247 1.10.3230 "Hypothetical protein yqbg "
248 1.10.3250 "type ii restriction endonuclease, domain 1 "
249 1.10.3260 "DNA ligase i, domain 1 "
250 1.10.3270 "HMGR, N-terminal domain "
251 1.10.3280 "Siro heme synthase C-terminal domain-like "
252 1.10.3290 "Fic-like fold "
253 1.10.3300 "Jann2411-like fold "
254 1.10.3320 "pa2218 like fold "
255 1.10.3330 "UraD-like "
256 1.10.3340 "SMc04008-like fold "
257 1.10.3350 "HP0242-like fold "
258 1.10.3360 "VPA0735-like fold "
259 1.10.3370 "Preprotein translocase SecY subunit "
260 1.10.3380 "Sec63 N-terminal domain-like fold "
261 1.10.3390 "YejL-like "
262 1.10.3400 "af_2093 domain like fold "
263 1.10.3410 "putative deoxyguanosinetriphosphate triphosphohydrolase fold "
264 1.10.3420 "putative ntp pyrophosphohydrolase like fold "
265 1.10.3430 "Ammonium transporter fold "
266 1.10.3440 "Sama2622-like fold "
267 1.10.3450 "Hyaluronidase domain-like "
268 1.10.3460 "Chlorophyll a-b binding protein "
269 1.10.3470 "ABC transporter involved in vitamin B12 uptake, BtuC "
270 1.10.3480 "TorD-like "
271 1.10.3490 "PH0156-like "
272 1.10.3500 "Tex N-terminal region-like "
273 1.10.3510 "NMB0513-like "
274 1.10.3520 "Glycolipid transfer protein, GLTP "
275 1.10.3530 "Api92-like "
276 1.10.3540 "fold of a uncharacterized protein from magnetospirillum magneticum "
277 1.10.3550 "eoxyguanosinetriphosphate triphosphohydrolase fold "
278 1.10.3560 "yst0336 like fold "
279 1.10.3570 "Rhabdovirus nucleoprotein-like fold "
280 1.10.3580 "ATP12-like fold "
281 1.10.3590 "acid-sensing ion channel 1 fold "
282 1.10.3600 "uncharacterized protein encoded by cryptic prophage fold "
283 1.10.3610 "Rhabdovirus nucleoprotein-like "
284 1.10.3620 "YdcF fold "
285 1.10.3630 "yeast vps74-n-term truncation variant fold "
286 1.10.3640 "putative oxidoreductase fold "
287 1.10.3650 "nitrate reductase domain fold "
288 1.10.3660 "6-phosphogluconate dehydrogenase C-terminal fold "
289 1.10.3670 "Putative xylanase fold "
290 1.10.3680 "TerB-like "
291 1.10.3690 "PA2222-like fold "
292 1.10.3700 "AGR_C_984p-like "
293 1.10.3710 "post-AAA+ oligomerization domain-like "
294 1.10.3720 "MetI-like fold "
295 1.10.3730 "ProC C-terminal domain-like fold "
296 1.10.3740 "SSO1389-like fold "
297 1.10.3750 "Hypothetical protein YhaI fold "
298 1.10.3760 "YutG-like "
299 1.10.3780 "TPR-like "
300 1.10.3790 "NinB fold "
301 1.10.3800 "ADP-ribosylation fold "
302 1.10.3810 "Penicillin binding protein transpeptidase fold "
303 1.10.3820 "Multiheme cytochrome fold "
304 1.10.3830 "Diacylglycerol kinase fold "
305 1.10.3860 "Proton glutamate symport protein "
306 1.10.3870 "AF1437-like domain fold "
307 1.10.3880 "YggX-like "
308 1.10.3890 "YcfC-like "
309 1.10.3900 "YacF-like "
310 1.10.3910 "SP0561-like "
311 1.10.3920 "PA2201 C-terminal domain-like "
312 1.10.3930 "Pentein "
313 1.10.3940 "AF_0924 fold "
314 1.10.3950 "putative ecf-type sigma factor negative effector from bacillus cereus "
315 1.10.3960 "Hypothetical protein MG354 fold "
316 1.10.3970 "BSD domain-like fold "
317 1.10.3980 "T-fold "
318 1.10.3990 "Ribbon-helix-helix fold "
319 1.10.4000 "Flagellar transcriptional activator fold "
320 1.10.4010 "all-alpha NTP pyrophosphatase fold "
321 1.10.4020 "DNA breaking-rejoining enzymes fold "
322 1.10.4030 "Triger factor/SurA peptide-binding fold "
323 1.10.4040 "Penicillinase repressor fold "
324 1.10.4050 "Nucleotidyltransferase substrate binding subunit/domain fold "
325 1.10.4060 "LON domain-like fold "
326 1.10.4070 "putative redox-enzyme maturation protein fold "
327 1.10.4080 "ADP-ribosylglycohydrolase fold "
328 1.10.4090 "Hepatitis B viral capsid (hbcag) fold "
329 1.10.4100 "2-methylcitrate dehydratase PrpD "
330 1.10.4110 "Invasion protein A fold "
331 1.10.4120 "SopE-like GEF fold "
332 1.10.4140 "effector protein (NleL) fold "
333 1.10.4150 "SipA N-terminal domain-like "
334 1.10.4160 "Hydantoin permease "
335 1.10.4170 "Glycosylphosphatidylinositol-anchored merozoite surface protein "
336 1.10.4180 "Protein LEAFY "
337 1.10.4190 "Urease accessory protein UreF "
338 1.10.4200 "Triphosphoribosyl-dephospho-CoA protein "
339 1.20.5 "Single alpha-helices involved in coiled-coils or other helix-helix interfaces "
340 1.20.10 "Heat-Stable Enterotoxin B "
341 1.20.20 "F1FO ATP Synthase "
342 1.20.50 "Pheromone ER-1 "
343 1.20.58 "Methane Monooxygenase Hydroxylase; Chain G, domain 1 "
344 1.20.59 "Chorismate Mutase Domain, subunit A "
345 1.20.80 "Acyl-CoA Binding Protein "
346 1.20.81 "Receptor-associated Protein "
347 1.20.82 "ADP Ribosyl Cyclase; Chain A, domain 1 "
348 1.20.85 "Photosynthetic Reaction Center, subunit M; domain 1 "
349 1.20.89 "Nitrogenase Molybdenum-iron Protein, subunit B; domain 4 "
350 1.20.90 "Phospholipase A2 "
351 1.20.91 "Influenza Virus Matrix Protein; Chain A, domain 1 "
352 1.20.120 "Four Helix Bundle (Hemerythrin (Met), subunit A) "
353 1.20.140 "Butyryl-CoA Dehydrogenase, subunit A; domain 3 "
354 1.20.141 "Chitosanase, subunit A; domain 1 "
355 1.20.142 "Poly(ADP-ribose) Polymerase; domain 1 "
356 1.20.144 "Vanadium-containing Chloroperoxidase; domain 1 "
357 1.20.150 "Lysin "
358 1.20.190 "Delta-Endotoxin; domain 1 "
359 1.20.200 "Fumarase C; Chain A, domain 2 "
360 1.20.210 "Cytochrome C Oxidase; Chain A "
361 1.20.225 "Bacteriocin As-48; Chain A "
362 1.20.245 "Lipoxygenase-1; domain 5 "
363 1.20.250 "Colicin Ia; domain 1 "
364 1.20.272 "Zinc Finger, Delta Prime; domain 3 "
365 1.20.810 "Cytochrome Bc1 Complex; Chain C "
366 1.20.840 "Methyl-coenzyme M Reductase; Chain B, domain 2 "
367 1.20.850 "Hydroxylamine Oxidoreductase; Chain A, domain 2 "
368 1.20.860 "Alpha-t-alpha "
369 1.20.870 "Son of sevenless (SoS) protein; Chain S, domain 1 "
370 1.20.890 "cAMP-dependent Protein Kinase, Chain A "
371 1.20.900 "Dbl Homology Domain; Chain A "
372 1.20.910 "Heme Oxygenase; Chain A "
373 1.20.920 "Histone Acetyltransferase; Chain A "
374 1.20.930 "Transcription Elongation Factor S-II; Chain A "
375 1.20.940 "RNA Binding Protein, Prp18; Chain A "
376 1.20.950 "Fumarate Reductase Cytochrome B subunit "
377 1.20.960 "Mitochondrial Import Receptor Subunit Tom20; Chain A "
378 1.20.970 "Transferase, Pyrimidine Nucleoside Phosphorylase; Chain A, domain 3 "
379 1.20.990 "NADPH-cytochrome p450 Reductase; Chain A, domain 3 "
380 1.20.1000 "Signaling Protein - Interferon-induced Guanylate-binding Protein 1; Chain A, domain 1 "
381 1.20.1020 "CREB-binding Protein; Chain A "
382 1.20.1050 "Glutathione S-transferase Yfyf (Class Pi); Chain A, domain 2 "
383 1.20.1060 "Taq DNA Polymerase; Chain T, domain 4 "
384 1.20.1070 "Rhopdopsin 7-helix transmembrane proteins "
385 1.20.1080 "Glycerol uptake facilitator protein "
386 1.20.1090 "Dehydroquinate synthase-like, alpha domain "
387 1.20.1110 "Calcium-transporting ATPase, transmembrane domain "
388 1.20.1120 "Clostridium botulinum neurotoxin B, ""coiled-coil"" domain "
389 1.20.1130 "Photosystem I p700 chlorophyll A apoprotein A1 "
390 1.20.1150 "Endoplasmic reticulum protein erp29 "
391 1.20.1160 "Paired amphipathic helix 2 (pah2 repeat) "
392 1.20.1170 "Hemolysin E; Chain A; "
393 1.20.1180 "Udp N-acetylglucosamine O-acyltransferase; Domain 2 "
394 1.20.1200 "Hypothetical Protein Ta1238; Chain A; "
395 1.20.1220 "Malate Synthase G; Chain A; Domain 4 "
396 1.20.1230 "Phospholipase C Beta; Chain A "
397 1.20.1240 "Photosystem 1 Reaction Centre Subunit Xi; Chain L; "
398 1.20.1250 "Growth Hormone; Chain A; "
399 1.20.1260 "Ferritin "
400 1.20.1270 "Substrate Binding Domain Of Dnak; Chain A; Domain 2 "
401 1.20.1280 "Monooxygenase "
402 1.20.1290 "AhpD-like "
403 1.20.1300 "3 helical TM bundles of succinate and fumarate reductases "
404 1.20.1310 "5 helical Cullin repeat like "
405 1.20.1320 "phosphoenolpyruvate carboxylase, domain 3 "
406 1.20.1330 "f41 fragment of flagellin, N-terminal domain "
407 1.20.1340 "dopa decarboxylase, N-terminal domain "
408 1.20.1370 "Hemocyanin, N-terminal domain "
409 1.20.1380 "Replication modulator SeqA, C-terminal DNA-binding domain "
410 1.20.1390 "PWI domain "
411 1.20.1400 "Mollusk pheromone "
412 1.20.1410 "I/LWEQ domain "
413 1.20.1420 "A middle domain of Talin 1 "
414 1.20.1430 "immunoglobulin/albumin-binding domain-like "
415 1.20.1440 "de novo design (two linked rop proteins) "
416 1.20.1450 "particulate methane monooxygenase, chain B "
417 1.20.1460 "subunit c (vma5p) of the yeast v-atpase, domain 2 "
418 1.20.1480 "hypothetical protein mp506/mpn330, domain 1 "
419 1.20.1500 "YheA-like fold "
420 1.20.1510 "Alpha-lytic protease prodomain-like "
421 1.20.1520 "Adp-ribosylation factor-like protein 2-binding protein fold "
422 1.20.1530 "Na+/H+ antiporter like fold "
423 1.20.1540 "Rhomboid-like fold "
424 1.20.1550 "Bromodomain-like "
425 1.20.1560 "ABC transporter transmembrane region fold "
426 1.20.1570 "dip2346 fold "
427 1.20.1580 "ABC transporter ATPase like fold "
428 1.20.1590 "YP_001051499.1 fold like "
429 1.20.1600 "Outer membrane efflux proteins (OEP) "
430 1.20.1610 "Glycosyl hydrolase family fold "
431 1.20.1630 "Formate dehydrogenase/DMSO reductase fold "
432 1.20.1640 "Multidrug efflux transporter AcrB transmembrane fold "
433 1.20.1650 "PLP-dependent transferase-like "
434 1.20.1660 "ARM repeat fold "
435 1.20.1670 "all-alpha NTP pyrophosphatase "
436 1.20.1680 "all-alpha NTP pyrophosphatases "
437 1.20.1690 "V-type ATP synthase subunit C fold "
438 1.20.1700 "AF1104-like "
439 1.20.1710 "IpaD-like "
440 1.20.1720 "Multidrug resistance protein D "
441 1.20.1730 "Sodium/glucose cotransporter "
442 1.20.1740 "Amino acid/polyamine transporter I "
443 1.25.10 "Leucine-rich Repeat Variant "
444 1.25.20 "70-kda Soluble Lytic Transglycosylase; domain 1 "
445 1.25.40 "Serine Threonine Protein Phosphatase 5, Tetratricopeptide repeat "
446 1.25.50 "Zincin-like fold "
447 1.25.60 "MgtE N-terminal fold "
448 1.25.70 "Transcription termination factor 3, mitochondrial "
449 1.40.10 "Peridinin-chlorophyll Protein, Chain M "
450 1.40.20 "CHAD domain "
451 1.50.10 "Glycosyltransferase "
452 1.50.40 "Mitochondrial carrier fold "
453 2.10.10 "Seminal Fluid Protein PDC-109 (Domain B) "
454 2.10.22 "Antistasin; domain 1 "
455 2.10.25 "Laminin "
456 2.10.50 "Tumor Necrosis Factor Receptor, subunit A; domain 2 "
457 2.10.55 "Leishmanolysin; domain 3 "
458 2.10.60 "CD59 "
459 2.10.69 "Cysteine Protease (Bromelain) Inhibitor, subunit H "
460 2.10.70 "Complement Module; domain 1 "
461 2.10.77 "Hemagglutinin; Chain A, domain 2 "
462 2.10.80 "Lipase, subunit A "
463 2.10.90 "Cystine Knot Cytokines, subunit B "
464 2.10.109 "Umud Fragment, subunit A "
465 2.10.110 "Cysteine Rich Protein "
466 2.10.150 "Urease, subunit B "
467 2.10.160 "Vascular Endothelial Growth Factor-165, Heparin-binding Domain "
468 2.10.210 "Cytochrome Bc1 Complex; Chain I "
469 2.10.220 "Hormone Receptor, Insulin-like Growth Factor Receptor 1; Chain A domain 2 "
470 2.10.230 "Chaperone, DNAj Protein; Chain A "
471 2.10.240 "Dihydroorotate dehydrogenase B (pyrk subunit); domain 3 "
472 2.10.250 "Calnexin lumenal domain, non-globular proline-rich hairpin domain "
473 2.10.260 "Pemi-like Protein 1; Chain D "
474 2.10.270 "left handed beta-beta-3-solenoid "
475 2.10.280 "heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 1 "
476 2.10.290 "Rubredoxin-like "
477 2.10.300 "Porin MspA ribbon fold "
478 2.10.310 "Serpins fold "
479 2.20.20 "Anthopleurin-A "
480 2.20.25 "N-terminal domain of TfIIb "
481 2.20.28 "Rubrerythrin, domain 2 "
482 2.20.50 "Outer Surface Protein A; domain 2 "
483 2.20.60 "Heparin-binding Growth Factor, Midkine; Chain A "
484 2.20.70 "Ubiquitin Ligase Nedd4; Chain W; "
485 2.20.80 "Lipovitellin-phosvitin complex, chain A, domain 4 "
486 2.20.90 "Lipovitellin-phosvitin complex; beta-sheet shell regions "
487 2.20.100 "TSP-1 type 1 repeat "
488 2.20.110 "Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain "
489 2.20.120 "Multimodular pneumococcal cell wall endolysin, domain 3 "
490 2.20.130 "S-adenosyl-L-methionine-dependent methyltransferases "
491 2.20.140 "q64v53_bacfr protein fold "
492 2.20.150 "putative 5-dehydro-2- deoxygluconokinase like fold "
493 2.20.160 "titin filament fold "
494 2.20.170 "GTPase activation domain, GAP fold "
495 2.20.180 "putative fmn-dependent nitroreductase like fold "
496 2.20.200 "Outer membrane efflux proteins (OEP) "
497 2.20.210 "ubp-family deubiquitinating enzyme fold "
498 2.20.220 "Glycosyl hydrolase fold "
499 2.20.230 "Resuscitation-promoting factor rpfb fold "
500 2.30.18 "TATA box binding Protein, subunit D; domain 2 "
501 2.30.22 "Nucleotide Exchange Factor Grpe; Chain A, domain 2 "
502 2.30.24 "Transcription Regulation, Sacy; Chain A "
503 2.30.26 "Dihydroorotate Dehydrogenase A; chain A, domain 2 "
504 2.30.27 "Phage FD Coat Protein, Membrane penetration domain "
505 2.30.29 "PH-domain like "
506 2.30.30 "SH3 type barrels. "
507 2.30.31 "Transcriptional Co-activator pc4; Chain A "
508 2.30.32 "Xylanase; Chain A "
